year,journal,doi,arxiv number,primary arxiv category,total number of authors,total number of ORCIDs linked to the authors,total number of affiliations,total number of ROR linked with the affiliations,"total number of related materials, type dataset","total number of related materials, type software"
2024,Chinese Physics C,10.1088/1674-1137/ad57a8,2307.09803,hep-th,2,0,3,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad641b,2403.11842,hep-lat,6,0,11,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad84bb,2410.06503,hep-ph,2,0,2,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad77b2,2208.13874,hep-ph,2,0,3,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad736f,2407.03697,hep-lat,7,0,13,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad77b3,2401.05005,hep-ph,4,0,8,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad75f5,2402.18898,hep-ph,2,0,3,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad62de,2402.18497,,3,0,3,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad6c09,2311.13292,hep-ph,3,0,3,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad75f4,2407.04110,hep-ph,2,0,2,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad7012,2308.05304,hep-ph,5,0,8,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad6e60,2406.15939,hep-ph,2,0,2,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad5ae5,2405.04145,hep-ph,1,0,1,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad5a71,2401.12571,hep-ph,1,0,1,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad5661,2404.02613,hep-ex,6,0,6,0,0,0
2024,Chinese Physics C,10.1088/1674-1137/ad5f80,2405.10493,hep-lat,5,0,7,0,0,0
